"method","accuracy","lower","upper","mcnemar_chi2","p_value"
"fmask",0.924723307291667,0.922752070998241,0.926792854148235,NA,NA
"threshold",0.822048611111111,0.819180409838216,0.825408630135824,3783.00026420079,0
