"cloud_fraction","usable_rho0","usable_rho07","usable_change_pct","failure_rho0","failure_rho07","failure_ratio"
0.6,29,28,-3.4,0.03,0.192,6.4
0.7,22,21,-4.5,0.105,0.29,2.76
0.8,15,14,-6.7,0.21,0.455,2.17
